Fault ID,Fault Type,"Fault Location (Latitude, Longitude)",Voltage (V),Current (A),Power Load (MW),Temperature (°C),Wind Speed (km/h),Weather Condition,Maintenance Status,Component Health,Duration of Fault (hrs),Down time (hrs)
F097,Line Breakage,"(34.6677, -118.4861)",2167.9722811648,205.18797761760246,51.16859464708236,36.41275821083459,27.84325448185058,Windstorm,Completed,Faulty,4.947906485795222,5.3630604464844405
F047,Line Breakage,"(34.7346, -118.9808)",2216.427252791425,205.17127893735181,54.06176751493563,36.90863302360659,12.09621721417469,Windstorm,Completed,Overheated,2.283175938041311,2.7120416933950615
F157,Transformer Failure,"(34.6948, -118.3247)",1888.2522346954129,238.80358555554508,48.41085140788179,36.91953835669668,14.90549857894121,Rainy,Completed,Overheated,5.322804540108128,1.9774087799939868
F499,Line Breakage,"(34.6722, -118.2053)",2054.2753453973905,233.3232006793721,53.64006750427682,33.03435422264157,23.951169928566173,Windstorm,Pending,Faulty,5.086853522220673,4.589210017721092
F026,Transformer Failure,"(34.7578, -118.9933)",1944.5844591250686,223.78362864924716,55.88691385812325,27.049404817519154,19.168336387315595,Clear,Completed,Normal,2.1307336830329984,2.3773625659228994
F273,Overheating,"(34.175, -118.2959)",1859.3285890790148,236.92673062233862,50.362098948089695,25.649990345972306,17.396668593658326,Snowy,Completed,Normal,5.725534892793636,2.4618926304871063
F317,Line Breakage,"(34.2764, -118.217)",1919.492328031313,219.0688031919749,50.507843624457315,26.226307279742368,10.180229494486422,Snowy,Pending,Normal,5.067706512267079,4.437871309151353
F185,Transformer Failure,"(34.5413, -118.39)",1695.01104891531,220.52601103118218,51.78693857056055,22.70172578219221,30.14108003958419,Thunderstorm,Completed,Normal,4.254678330279446,6.776356741095793
F462,Line Breakage,"(34.5475, -118.5264)",2108.178944228742,215.2038676804631,48.562649722720245,30.13261360817884,15.442473898396344,Thunderstorm,Scheduled,Normal,2.894399567977729,4.106670268944082
F351,Overheating,"(34.3345, -118.6729)",2091.6037798867796,221.04313781920857,55.33433140184623,25.494626513954955,16.28930311217649,Rainy,Pending,Faulty,3.07678301569006,4.61007750613419
F355,Overheating,"(34.9816, -118.0978)",2046.4629136892831,238.96457337373948,49.6376357996041,28.884800976598893,27.86931687465767,Windstorm,Scheduled,Faulty,4.4687103908022605,3.907066487771131
F106,Overheating,"(34.6857, -118.1732)",2050.6482755456527,212.83223486392876,55.75845842664578,24.77013987407058,21.928009702822656,Snowy,Scheduled,Faulty,5.298790159277249,2.400266700428466
F505,Overheating,"(34.9449, -118.9839)",2060.873994778201,232.52975422256242,45.94196614242878,26.2531475977142,20.763360560605996,Windstorm,Pending,Normal,2.1873386313903174,2.667975200894708
F503,Transformer Failure,"(34.5981, -118.3666)",1962.6682370587935,189.8484067402819,52.23760295213589,38.27284464865502,16.362753303089058,Clear,Scheduled,Normal,3.7309608363905897,0.500611955654306
F332,Transformer Failure,"(34.0465, -118.623)",2190.522612099916,230.91933677767636,50.6548126529413,34.71062527132002,11.854720862219006,Snowy,Completed,Overheated,5.455872512520061,4.749987707203232
F059,Overheating,"(34.2293, -118.1874)",1882.9638135573841,209.75670536708625,48.026288704481836,21.106510236161995,24.916735083253602,Thunderstorm,Scheduled,Faulty,4.410473678080427,-0.31427731806131654
F322,Overheating,"(34.77, -118.7954)",1970.7966586914517,211.14972787597915,57.16280381947028,31.444276853615072,27.844811502010447,Clear,Completed,Faulty,2.520941766877766,4.460105155181062
F493,Transformer Failure,"(34.3987, -118.851)",2142.2482025029553,220.68696930579404,47.927545212500355,29.33857333394977,28.24179069513559,Thunderstorm,Scheduled,Faulty,4.421517742680994,7.0540293647288355
F465,Line Breakage,"(34.7606, -118.9892)",2081.8278089222363,217.5426496945058,48.844444265990205,30.157908769982946,18.934764849341054,Windstorm,Pending,Overheated,3.671206067882079,5.172675030344949
F261,Overheating,"(34.3217, -118.1726)",2001.4182099831928,202.0570912180514,45.095844492944934,29.770580801604897,6.647875117082679,Rainy,Completed,Faulty,2.753922999639249,5.655913950653243
F438,Transformer Failure,"(34.913, -118.9203)",2124.7985675928676,240.07690106297156,48.0231483939352,34.027906043359856,29.922117440485827,Windstorm,Pending,Faulty,3.840581691715337,1.9170362269362102
F238,Line Breakage,"(34.0617, -118.2755)",1982.126899850415,216.390945040292,50.48872847966589,29.663701863046114,12.369379615968477,Windstorm,Completed,Normal,3.38182308811715,5.68513735568664
F041,Overheating,"(34.8096, -118.8754)",2100.511495936007,205.69436037720124,51.87389049768265,20.110335273003194,23.412474050333085,Rainy,Pending,Faulty,2.615539584165879,3.467321783240703
F042,Line Breakage,"(34.0305, -118.1797)",2055.1299795423133,215.82917806162948,51.43345682328392,27.95347694421663,19.582552821644303,Rainy,Completed,Normal,4.7617956801703425,3.75602903793337
F298,Line Breakage,"(34.3662, -118.1784)",2194.0225838380775,229.93029247950994,48.378091746422655,30.132685868258246,22.50983543315592,Thunderstorm,Pending,Normal,3.439139598647839,4.966204748537273
F026,Transformer Failure,"(34.3011, -118.8641)",2024.079637644362,203.87626230883126,52.81931663435822,34.1245612867634,1.9774101990465596,Rainy,Pending,Normal,3.4138298540636143,3.480958350493875
F158,Overheating,"(34.0062, -118.9341)",2321.2055123907076,219.69232347960525,49.29932698642846,24.392339047904027,16.69494126439103,Clear,Pending,Normal,5.337502094410698,5.761159722051858
F059,Overheating,"(34.9256, -118.611)",2263.359140459585,221.49533239574112,49.25799372749048,28.972008752091824,6.326196367852587,Windstorm,Pending,Normal,2.432517773632509,5.100097061804615
F005,Line Breakage,"(34.7007, -118.8961)",2117.2071431406894,227.326147589951,47.01786523547471,32.597143755097335,18.04066331812719,Thunderstorm,Scheduled,Overheated,3.9320126245968017,3.9042344305657255
F173,Overheating,"(34.9126, -118.4003)",2046.1626699615124,233.64728831839557,50.3036045693112,31.047340587861157,22.512770179297377,Snowy,Scheduled,Overheated,4.252892026834352,5.90175648875887
F140,Line Breakage,"(34.2046, -118.7839)",1840.523401308093,182.2201503038217,50.90827912333361,32.037851485523895,16.79426892207378,Rainy,Completed,Overheated,4.0611008839599485,4.520191783989419
F288,Line Breakage,"(34.8762, -118.3086)",1990.8385999702532,181.69799881441628,49.65601702691247,37.81825670526695,23.055342108532397,Rainy,Scheduled,Faulty,5.367188023697138,5.344656628021333
F080,Overheating,"(34.643, -118.1102)",1886.4477990647697,223.0738167610568,51.75271591775741,31.93429278885128,14.331008486190004,Clear,Scheduled,Normal,2.560323650482097,1.283717181045044
F303,Overheating,"(34.8447, -118.1434)",2055.6910520916117,243.189601997002,58.150016648148394,30.53531111969764,20.419788629842774,Clear,Scheduled,Faulty,4.266792224917802,5.164998115766609
F081,Line Breakage,"(34.6605, -118.7844)",2045.329485196769,204.6102227617294,51.949796305503746,24.73305801397626,22.419030144010733,Snowy,Scheduled,Faulty,4.737127174921874,2.585226746638217
F004,Line Breakage,"(34.9158, -118.9076)",2149.9733284449553,212.06142058577842,51.890586508803686,30.10554867979869,25.637067756149285,Clear,Scheduled,Overheated,4.728164029887254,4.072885580294215
F274,Overheating,"(34.7529, -118.2302)",2034.3766340226223,213.10614673626444,49.72567829817576,28.62945991441212,19.65118191042494,Clear,Pending,Overheated,4.99583738959651,5.369687967529755
F030,Line Breakage,"(34.5608, -118.7147)",2001.2712536587042,197.43182552922275,49.77212311199639,30.412831877378373,18.206628794522967,Snowy,Completed,Faulty,7.633250412076887,4.499341099717314
F345,Line Breakage,"(34.8755, -118.6654)",2172.5599440816536,223.64203702976903,48.00167886782477,42.4428539524685,16.53263946087213,Thunderstorm,Pending,Normal,4.718013457779311,4.773113327720582
F096,Transformer Failure,"(34.3709, -118.4099)",2243.2943476935834,205.44065373209324,47.414777206367084,29.070068823573788,13.807996469627282,Clear,Completed,Overheated,3.837334262532954,4.371006781445801
F249,Transformer Failure,"(34.323, -118.244)",1809.8080163684392,198.5271619282321,46.11084557733916,38.97326325064712,13.370533726195088,Rainy,Completed,Overheated,2.917240503480263,7.244302156361817
F201,Transformer Failure,"(34.6144, -118.1786)",2238.270088297385,231.97003431954766,44.08778751500678,32.20227715555815,12.22171289527121,Windstorm,Completed,Overheated,3.737041435226821,2.217714419104956
F493,Overheating,"(34.1262, -118.9636)",1887.3456930071184,223.87145126728979,50.093960315423246,33.540950087560276,22.83915270565132,Snowy,Pending,Normal,6.629978263035258,4.623480538539892
F381,Line Breakage,"(34.3228, -118.8885)",2043.953582882981,240.32439048049136,51.64339749089549,35.07913236385935,20.4350899395513,Rainy,Completed,Normal,2.607578525245153,7.153491360113861
F156,Transformer Failure,"(34.7793, -118.2713)",2159.1357640297183,176.20053197273512,49.632910775812135,33.53382365024226,1.6357813662895033,Rainy,Scheduled,Normal,2.1089216017465704,4.868513146280325
F211,Overheating,"(34.832, -118.6016)",1920.0853264569696,198.35473892590448,47.934013763221785,33.36689908434528,15.059726282277472,Clear,Scheduled,Faulty,4.667918261822009,3.919881621146877
F398,Overheating,"(34.2682, -118.7287)",1990.8619056941313,199.46272561935663,50.49930257297205,46.72649552310702,14.917658601956015,Thunderstorm,Completed,Overheated,3.638445094906836,7.007688706715374
F464,Overheating,"(34.0295, -118.0712)",2120.3715302114197,241.58620878851252,53.9118722064321,28.786742568995873,15.107316687349137,Thunderstorm,Scheduled,Normal,4.475473371750668,4.693349359611576
F170,Overheating,"(34.2709, -118.483)",2041.8660290543191,202.2849495508805,49.47954688617169,28.437141088066788,23.70917178966372,Thunderstorm,Pending,Faulty,2.7111155924344095,2.343377804963328
F349,Line Breakage,"(34.353, -118.1848)",1944.3224739036389,234.80402097982008,51.172487127736396,30.727851797864943,15.886473617575474,Thunderstorm,Pending,Faulty,5.573154049878012,-0.15694329355153336
F216,Transformer Failure,"(34.7723, -118.1127)",2123.7728590581128,208.4975228547793,51.04380264725304,37.668662395323516,16.16153373791483,Snowy,Scheduled,Overheated,3.2286727487871807,2.309147941788371
F271,Transformer Failure,"(34.5618, -118.1913)",2207.717722284626,176.05351474446056,49.772199318909855,27.257200851240718,19.777626307493033,Thunderstorm,Scheduled,Faulty,5.321845958757492,2.014928109334889
F176,Transformer Failure,"(34.4423, -118.5779)",2129.181261262509,226.97717212955462,46.775402572458994,31.872279927216184,22.29768637078864,Clear,Scheduled,Overheated,3.529857993163224,6.809008581877954
F128,Transformer Failure,"(34.7697, -118.5803)",1965.1079142251442,228.93395626308896,50.604701976997774,30.00310735526449,19.76304628948831,Windstorm,Scheduled,Overheated,3.446860626136353,0.04030531739027676
F228,Transformer Failure,"(34.7759, -118.5975)",2152.7848812337625,228.44918954949244,46.51394740304935,33.21972135042309,19.084234133769723,Clear,Scheduled,Faulty,3.0944933385993996,1.3922001321355153
F088,Transformer Failure,"(34.9418, -118.2507)",1798.0054697391297,213.9077436291803,52.42860703485375,37.487135109979064,8.210670236591241,Clear,Scheduled,Faulty,2.8281758703756874,4.470884079613154
F441,Transformer Failure,"(34.5963, -118.6244)",1965.257190829515,237.72155804233319,49.42128875091103,26.228205319022127,21.008534266875376,Windstorm,Completed,Overheated,4.980921331797455,1.5149435989927231
F033,Transformer Failure,"(34.5239, -118.9869)",2016.61080852334,226.70019784236175,51.91688910674752,22.081255447185917,17.86313284798569,Thunderstorm,Scheduled,Faulty,3.489819539713877,2.898549203177918
F500,Overheating,"(34.77, -118.7954)",1967.4671311173906,231.5289408605723,46.23684581962974,13.897118733049599,25.1016117418123,Clear,Scheduled,Faulty,3.767626897407252,8.858452560999616
F137,Overheating,"(34.056, -118.245)",2081.2547371480755,231.99450936162734,50.95476109778807,39.87224155448313,22.456661531542444,Thunderstorm,Completed,Faulty,4.0016334122837875,4.795510140999711
F072,Overheating,"(34.2164, -118.8191)",1719.3839583655554,200.30213604182734,46.92558168155677,17.18282472547024,16.755298228254276,Rainy,Completed,Overheated,2.1659864387885133,2.8533279249381986
F138,Line Breakage,"(34.2256, -118.9178)",2256.0230434475898,261.4246615113833,53.80810579640866,27.779044879236316,16.112750308501013,Windstorm,Scheduled,Normal,4.405679129134983,3.874877947415097
F038,Overheating,"(34.4896, -118.7372)",2041.8023728675337,263.79651232438005,48.526383608513356,36.58223848805911,17.305543931716983,Clear,Pending,Overheated,5.147294225628277,3.6208211320104633
F395,Line Breakage,"(34.6811, -118.3218)",2192.3023750007237,220.35867044256491,49.060906790171316,24.367631110759007,6.483438993149138,Rainy,Pending,Faulty,5.987684504562711,3.9353889032808285
F112,Transformer Failure,"(34.8307, -118.3005)",1969.9043288996518,196.78405038054282,48.172478358796695,31.67392805241979,29.489409727174138,Windstorm,Completed,Normal,3.48384080913807,3.9094993613035767
F076,Overheating,"(34.5608, -118.7147)",2201.10139497433,215.2836314863191,45.435644544561626,38.491200961987104,18.23986644677293,Thunderstorm,Scheduled,Overheated,3.7590838598922987,3.9629015258193445
F368,Line Breakage,"(34.0727, -118.7636)",2034.7554759716377,258.18034231680946,49.29144544751235,24.542243242647782,15.987808808305282,Rainy,Scheduled,Overheated,5.118969002392182,2.9578341251598044
F289,Overheating,"(34.9346, -118.9658)",2040.786455496751,216.59067739742167,49.093216125469645,30.770010108235127,20.76434721175976,Clear,Pending,Faulty,2.903926996588349,3.5437195190300215
F348,Line Breakage,"(34.059, -118.2617)",1852.5104807925893,200.38315193872648,45.2085886582903,32.73855235252244,11.758045570028187,Thunderstorm,Scheduled,Overheated,4.789967131790399,3.6583883765691736
F076,Overheating,"(34.0242, -118.8349)",2029.9015463454202,219.91987963138743,49.5733072044762,21.67109872717088,25.352734377909407,Windstorm,Pending,Faulty,2.2139519785781747,0.25477417533726276
F226,Transformer Failure,"(34.059, -118.2617)",2055.051211789058,233.47158579819242,50.1871456995523,30.30009596198472,18.41911249477798,Snowy,Completed,Overheated,2.1786377809376205,2.104901774837003
F453,Line Breakage,"(34.991, -118.7368)",2194.362153920682,214.8933931495729,50.112341702060874,34.89961113812899,18.85040440143422,Clear,Completed,Overheated,3.04557240052177,1.968518627776764
F249,Line Breakage,"(34.1436, -118.27)",1944.2934464340958,219.48954808269767,49.450721595366176,39.59862016491586,29.08040661186357,Snowy,Completed,Normal,4.533935083823205,3.3864192140382485
F175,Overheating,"(34.9299, -118.3317)",2207.529924646887,171.95358371451786,49.45640639427959,33.77291412618931,19.388468976924678,Windstorm,Completed,Normal,2.7621044164391932,3.224828418994769
F206,Overheating,"(34.6593, -118.3811)",2104.0587964836895,250.20984739590955,51.97596297417193,38.77915050797503,21.744676137644223,Windstorm,Scheduled,Normal,3.026943852829526,1.9514716320852363
F091,Overheating,"(34.1603, -118.1848)",2122.7744924062313,215.37516297117318,48.06553510535719,27.55319372912899,14.896010722002416,Snowy,Scheduled,Faulty,4.587494083709055,-0.763088658226196
F394,Overheating,"(34.1771, -118.935)",2044.5561299495323,212.88754967013855,53.3667809978182,33.91770003282514,12.031042914936918,Thunderstorm,Completed,Overheated,2.65933757861337,4.652615266590378
F274,Line Breakage,"(34.8305, -118.5876)",2221.5664914940776,221.0573216686929,49.52536845503599,30.311814357732032,10.783568587853788,Windstorm,Pending,Overheated,2.4388237651396647,6.380972035064097
F052,Overheating,"(34.8762, -118.3086)",1673.2354632511458,194.57002415967116,50.59359265657476,39.3430059837027,21.797281795328303,Snowy,Pending,Overheated,2.503064646965023,4.514249987095849
F241,Transformer Failure,"(34.1866, -118.7514)",2357.7710158275977,224.838196158595,48.22924615483864,40.79567215886732,13.653673682381902,Snowy,Completed,Overheated,4.163118222022517,6.715384104383825
F481,Transformer Failure,"(34.1619, -118.6775)",2057.8915058347466,208.9295030854225,54.679931725140506,21.904518255501063,20.483051095333064,Thunderstorm,Completed,Faulty,3.4305820997057603,1.0301727944017522
F378,Overheating,"(34.8581, -118.3377)",1915.6805996377227,233.74830103810058,42.42448840173873,20.95757425406692,20.548794827164855,Snowy,Completed,Faulty,4.076123593699873,5.1139154040556205
F039,Transformer Failure,"(34.6037, -118.1915)",2293.3689227074437,197.13251181623028,47.249422018545374,22.991238990352194,14.931528990886115,Snowy,Pending,Normal,4.5656723613780485,2.6033731872186987
F167,Line Breakage,"(34.2795, -118.1374)",2137.566207607804,197.9382314756322,53.062043310688956,31.35560018012972,24.96878152747636,Windstorm,Completed,Overheated,3.1776609531310496,6.620795572310646
F298,Transformer Failure,"(34.3183, -118.8763)",2081.376817288865,202.56020170208498,48.55579723504037,29.086630498398016,-1.5266466495289706,Clear,Scheduled,Faulty,2.4931034379882218,5.049666775317737
F066,Overheating,"(34.749, -118.7373)",1747.4294354449726,221.25230171148263,50.977906107115544,32.815847109202736,15.82342473504481,Windstorm,Pending,Overheated,5.174650447027318,3.0148878103365178
F188,Transformer Failure,"(34.62, -118.2833)",1911.8075530180843,166.24454834977877,50.600666394740124,44.424789545422655,17.271216886678083,Rainy,Completed,Normal,4.684767758554895,4.3801145592089785
F424,Line Breakage,"(34.3119, -118.122)",2245.6291335658866,175.3971957290849,48.597846936387,34.59859427416171,18.3339020219752,Snowy,Completed,Overheated,4.911962819559852,3.9807615601990443
F297,Line Breakage,"(34.8616, -118.3866)",2083.7768214849916,209.5329792204973,46.9818194390179,29.939046800883485,18.473598535784713,Windstorm,Completed,Faulty,1.8147153143534691,0.3981624096472016
F469,Transformer Failure,"(34.3375, -118.7272)",2164.2681417609474,231.57415216512476,49.6198128083799,24.42111262676582,20.457655038276666,Snowy,Completed,Normal,4.173594549560503,4.526106206532411
F070,Line Breakage,"(34.2685, -118.57)",2047.6694257361087,199.25599831957297,46.777583424517715,19.886005731536606,13.959099279263903,Thunderstorm,Completed,Normal,1.527756452067957,4.236497948181745
F167,Overheating,"(34.0658, -118.2155)",1952.7969575119257,211.70010640559914,52.01436209499008,30.657650245177642,23.395038011787932,Rainy,Scheduled,Normal,4.523495055569151,2.910643614022854
F220,Transformer Failure,"(34.9418, -118.2507)",2345.413987605899,237.2004451655756,54.38816187131756,15.686697913600174,13.86434333491858,Rainy,Completed,Faulty,5.7610857636580874,6.055940519230763
F074,Line Breakage,"(34.7701, -118.8258)",1825.7393636640525,205.57764008670785,51.79040354205369,28.20794348297494,11.003339593324553,Thunderstorm,Pending,Overheated,4.487286893395781,-0.5830885974830595
F204,Overheating,"(34.8157, -118.0007)",2103.747169157784,186.60289866821833,52.47595610127306,37.53372506486021,23.289051391228128,Thunderstorm,Pending,Normal,5.716116544303721,1.315266830796439
F274,Overheating,"(34.7666, -118.4273)",1836.1487244653415,188.55022861056784,51.69409475558728,25.93280764380605,15.99042351965571,Thunderstorm,Scheduled,Overheated,2.4478896505914705,4.363940961904306
F485,Overheating,"(34.1436, -118.27)",2054.633903022091,229.69589363582367,49.455007472211484,21.36452603054436,11.559831606870944,Snowy,Completed,Faulty,4.517007585379792,1.9721551612547903
F314,Transformer Failure,"(34.6121, -118.8037)",1849.6869842521737,218.40552515544599,51.03624613107601,38.32943849544133,14.502060505780907,Snowy,Completed,Overheated,5.355300005071251,7.5251323195002495
F322,Overheating,"(34.8932, -118.0307)",1950.9847396650523,219.34855809532723,48.16657647104464,32.2922139853306,19.50020219453387,Rainy,Completed,Overheated,4.685329025860946,8.676405297522436
F235,Transformer Failure,"(34.2934, -118.8373)",1866.0347218662237,251.26091338833152,49.19760453289162,34.34134648435917,16.32793715098619,Rainy,Completed,Overheated,3.5390298062617562,4.730018456086695
F010,Line Breakage,"(34.5485, -118.7316)",1915.4818141832798,207.81027061777297,52.58363340238531,29.396846068930376,15.736144728586963,Snowy,Scheduled,Overheated,5.407985236818079,0.9257178545240308
F239,Line Breakage,"(34.055, -118.242)",1767.1056983863969,201.8119597273864,48.43340863171787,23.359150538297598,22.04232952317895,Clear,Scheduled,Normal,3.158171590297032,5.976205954176085
F500,Overheating,"(34.187, -118.6786)",2052.486767069208,215.41192528316515,45.584689954559074,33.982560623924975,30.567574723286548,Clear,Scheduled,Normal,5.509363627579326,7.011531704652766
F317,Line Breakage,"(34.8653, -118.7472)",1855.4054870850805,209.15496566416832,44.47088431014194,29.961408845597656,21.75949880440239,Windstorm,Pending,Normal,6.64383950171582,5.330616968162191
F273,Transformer Failure,"(34.0255, -118.5657)",2016.4380921491404,235.45731091237573,49.897427214950525,31.584724123810467,30.241267545228492,Rainy,Completed,Overheated,4.684537451773478,4.863495915627602
F345,Overheating,"(34.8039, -118.4321)",1933.1044256037662,244.54611018499503,50.76086051690536,13.765373400670164,21.309954516722307,Rainy,Scheduled,Faulty,1.9682248691011122,3.361926015745739
F182,Overheating,"(34.0498, -118.3679)",1966.852518895931,202.66098593971753,51.093268348038805,37.83808874707279,10.931732436174974,Clear,Scheduled,Faulty,3.5649518038677623,2.5593827750588343
F346,Line Breakage,"(34.8426, -118.8105)",2000.5706821777483,219.4572548404171,47.470009779419485,24.901416740162542,21.479971465794808,Snowy,Scheduled,Faulty,3.5818488121480625,4.768208659888984
F351,Transformer Failure,"(34.5485, -118.7316)",1888.2298273691556,258.0279099729273,54.480884849715544,23.35767263566657,20.451125678130406,Snowy,Pending,Overheated,5.242775043617059,2.4163730128963854
F011,Overheating,"(34.8031, -118.1464)",1989.3633934458692,173.07482848049406,49.07365546051387,21.732910132601127,12.06772127599734,Clear,Scheduled,Normal,4.457111852954916,5.125708462129114
F430,Transformer Failure,"(34.667, -118.5485)",2122.5987171315364,240.96454702395218,51.66194853502828,34.43830039906578,28.096485733577985,Clear,Scheduled,Faulty,3.1952748982470895,4.859357979778401
F272,Transformer Failure,"(34.059, -118.2617)",2001.6612328074107,214.38033765157243,51.74163059459975,40.88084813274201,8.191948377133919,Clear,Completed,Normal,1.6555565287930958,5.32079456344316
F281,Overheating,"(34.2133, -118.1184)",1768.4372482746178,244.63058341968986,48.72566859958878,29.660769225942566,16.325601234941402,Snowy,Pending,Overheated,7.22578898030242,3.4284259274565496
F474,Transformer Failure,"(34.4977, -118.0222)",2138.6018199006503,246.4686878967425,50.62258043954896,17.025195271180394,14.30190510133274,Snowy,Completed,Overheated,4.812097631396556,2.867597272376531
F153,Transformer Failure,"(34.9302, -118.6966)",1876.7885841473387,284.3615053266908,47.9012369401116,31.924475677368246,19.447018845292405,Thunderstorm,Completed,Faulty,4.658647005450604,5.367064872512066
F465,Transformer Failure,"(34.187, -118.6786)",1987.1686905026409,212.06627613325668,51.57802252691485,35.45924533370346,22.422828240306274,Clear,Completed,Overheated,3.216004363278834,4.3056144113577375
F055,Line Breakage,"(34.8937, -118.532)",2033.2294742113168,202.10517617940488,50.4778768242707,24.397586837930753,21.283253109404917,Clear,Pending,Normal,4.605230154504192,4.545298186178757
F078,Line Breakage,"(34.2927, -118.8638)",2265.645555009974,209.86977140176958,48.53609885999872,33.79928333405612,16.011844099826618,Snowy,Pending,Normal,3.0923525998565706,5.5372370793112555
F309,Transformer Failure,"(34.9347, -118.2467)",1947.218272734718,248.8668302009103,55.761003026726556,30.408878125658536,17.97159033607972,Clear,Completed,Faulty,4.26006220944404,2.85207800481079
F118,Overheating,"(34.7464, -118.0617)",1996.7313583615128,225.93787943034891,55.021115761712664,36.04906536740598,19.790013571317175,Clear,Pending,Faulty,4.517271920412432,2.024163385597147
F059,Line Breakage,"(34.1664, -118.3806)",2111.2871064472965,192.82473425670892,51.20543142675205,22.14996260461449,8.80401767185634,Rainy,Scheduled,Normal,4.7107683714419535,5.06263554614183
F493,Line Breakage,"(34.6747, -118.6695)",1785.0176603290904,213.54850926651446,52.921692349281706,27.094742231932642,14.851042293684687,Windstorm,Completed,Faulty,4.800442710445044,5.995768449031267
F061,Line Breakage,"(34.0382, -118.3567)",2173.262795000351,219.50134855264903,49.21696472517073,27.58679246195471,22.194913934899738,Clear,Completed,Normal,5.583785618202163,7.494297794273234
F390,Transformer Failure,"(34.8654, -118.4224)",2048.932852160916,237.3192644901208,49.311735934099566,19.48455595816928,19.149783956084146,Windstorm,Scheduled,Faulty,4.591392424721867,-1.1041775503926594
F329,Line Breakage,"(34.5437, -118.917)",2156.2102762822105,226.53636372840353,50.49538593383944,32.19581393866795,22.151782899991346,Windstorm,Scheduled,Faulty,4.43960196967331,3.567350826908075
F251,Transformer Failure,"(34.3411, -118.6266)",1855.480526813625,178.028260166656,53.25786486525028,34.00930620782541,25.469606614489958,Rainy,Completed,Normal,5.060988486230663,6.574530382678799
F027,Line Breakage,"(34.4441, -118.2144)",1939.7167633668469,206.8304354780055,55.37119263003601,17.683818421022416,15.59006599455396,Clear,Completed,Normal,3.898206220048973,2.6993218014961715
F082,Line Breakage,"(34.6807, -118.0055)",2183.232559440141,229.71782119610918,56.330965560224435,23.65664110734828,16.0529603424877,Snowy,Completed,Faulty,6.397644730257924,2.2383168570923333
F154,Transformer Failure,"(34.4636, -118.1009)",2154.646764377749,212.51795277135162,52.24066771190044,28.06903890337224,19.541401656720293,Snowy,Scheduled,Overheated,3.021496049662192,3.229627772790022
F141,Overheating,"(34.2046, -118.7839)",1895.3937748371834,196.2982074260041,53.56895135431762,36.0916649943601,15.816975109152526,Snowy,Scheduled,Faulty,4.03937676984293,2.4523730073952263
F134,Line Breakage,"(34.5503, -118.5638)",2015.517115441739,196.14239893497205,49.73305623974681,30.251639446698302,22.545083724217985,Clear,Pending,Normal,5.277629429807405,5.084055892578036
F448,Transformer Failure,"(34.5374, -118.8537)",1997.7803107062887,198.17787736108005,57.70816667355177,16.960746134232437,28.030288013264645,Thunderstorm,Completed,Normal,3.128965599331553,2.736712050929226
F333,Line Breakage,"(34.1279, -118.8442)",2188.665975482555,208.65507166008888,53.40983529139113,39.44418916820261,20.49791869144534,Clear,Scheduled,Overheated,5.255009394740149,-0.12034751756101958
F123,Overheating,"(34.0647, -118.0042)",2002.2946036959092,204.0067819927917,51.42122726024045,25.54885544621903,14.28716215778866,Rainy,Completed,Faulty,3.2175754851289273,3.5405270949819774
F325,Transformer Failure,"(34.4636, -118.1009)",2192.5255284978316,177.18339054426366,49.76323985653436,30.224557460602878,27.671144762777907,Snowy,Scheduled,Faulty,2.052843033033886,6.268225754431471
F317,Overheating,"(34.8171, -118.7836)",2023.2736943806376,234.70380627182118,47.96087942274237,24.916133592039223,21.31045268679287,Snowy,Scheduled,Overheated,4.141757022926548,4.650389730453837
F326,Overheating,"(34.77, -118.7954)",2008.8375020460014,176.46947624808294,48.594160199715546,38.058635783855635,23.61415649302015,Rainy,Pending,Normal,2.9424762369568294,7.587628446391713
F345,Line Breakage,"(34.2916, -118.0178)",1998.6021015985702,185.44474285240258,42.492325699248404,24.544614149225204,16.847330261909143,Clear,Completed,Normal,3.533293746655378,4.254843208797698
F478,Line Breakage,"(34.6593, -118.3811)",2154.246619356685,178.77486312043712,49.5015346507891,32.69166830821819,25.46944734750784,Clear,Pending,Normal,5.549559336221311,2.3077206247835775
F095,Transformer Failure,"(34.8581, -118.3377)",1931.2273521480286,259.20773095944014,50.51836660841563,19.592314134317338,23.490695670112274,Thunderstorm,Scheduled,Faulty,4.235432394435041,1.459538453914233
F361,Overheating,"(34.3813, -118.5256)",1986.6059394050296,197.1102761805819,52.79820843923479,26.453894051002585,22.66769443726878,Thunderstorm,Pending,Overheated,4.969870748683541,4.702870774406006
F022,Overheating,"(34.1619, -118.6775)",1975.941795274421,223.23449999845442,49.50238606322935,30.439893516034008,21.429848056206954,Rainy,Pending,Faulty,3.6482383408593066,4.063016604493945
F144,Overheating,"(34.7651, -118.7112)",2094.194991469746,162.6094648646462,48.35995727042532,37.24026705112452,20.822432034972742,Windstorm,Pending,Faulty,4.155644252430248,3.518935056127653
F009,Line Breakage,"(34.673, -118.8585)",2027.2707021706506,168.62197660952324,48.52584467531478,32.22364123287128,24.206864767683044,Thunderstorm,Completed,Normal,5.083281681107346,5.370891957692782
F355,Transformer Failure,"(34.4977, -118.0222)",1840.807889297668,201.6419431418116,50.60805149237349,37.093759501130464,28.301024729369743,Snowy,Scheduled,Overheated,3.289111458627448,2.851781975362184
